Barcode,Date,Month,Year,Time
8904006307151,2023-10-30,October,2023,07:46:08
8903363006295,2023-10-30,October,2023,07:46:25
Barcode,Date,Month,Year,Time
8903363006295,2023-10-30,October,2023,07:52:09
Customer ID,Barcode,Date,Month,Year,Time
8903363006295,2023-10-30,October,2023,07:54:39
Customer ID,Barcode,Date,Month,Year,Time
90,8903363006295,2023-10-30,October,2023,07:56:07
Customer ID,Barcode,Date,Month,Year,Time
5,491179925,2023-10-30,October,2023,09:17:37
5,8904006307151,2023-10-30,October,2023,09:18:07
5,APPLES,2023-10-30,October,2023,09:18:18
5,CAKE,2023-10-30,October,2023,09:18:26
5,BISCUITS,2023-10-30,October,2023,09:18:34
5,,2023-10-30,October,2023,09:18:56
5,491179925,2023-10-30,October,2023,09:20:12
5,8904006307151,2023-10-30,October,2023,09:20:55
5,491179925,2023-10-30,October,2023,09:22:01
5,7330977307,2023-10-30,October,2023,09:22:42
5,491179925,2023-10-30,October,2023,09:23:01
Customer ID,Barcode,Date,Month,Year,Time
54,491179925,2023-11-06,November,2023,09:27:01
